Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento,,UNICOS
ANALISTA,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 6,364.19",20/04/2026,4/05/2026,0,,MUNICIPIO DISTRITAL DE QUINOTA
ESPECIALISTA ADMINISTRATIVO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 5,364.19",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE CHECCA
OPERADOR ADMINISTRATIVO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 3,864.19",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE SAN SALVADOR
TRABAJADORA SOCIAL,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 5,364.19",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE PILLCO MARCA
"TECNICO/A ADMINISTRATIVO I,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - LIMA,276-001,1,"S/. 1,417.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DEL SANTA
ASISTENTE EN SERVICIO DE COMUNICACIONES,PODER JUDICIAL,LORETO - NAUTA,728-01,1,"S/. 3,590.00",20/04/2026,4/05/2026,0,,DIREC.SUB.REG TRANS Y COMUN.CHANKA-ANDAH
ASISTENTE JUDICIAL,PODER JUDICIAL,LORETO - IQUITOS,728-01,1,"S/. 4,710.00",20/04/2026,4/05/2026,0,,RED DE SALUD GRAU
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,LORETO - IQUITOS,728-01,1,"S/. 4,710.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA :  UGEL CONDESUYOS
SECRETARIO/A JUDICIAL,PODER JUDICIAL,MADRE DE DIOS - INAMBARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 4,750.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE CHALA
11,SERVICIO NACIONAL DE SANIDAD AGRARIA,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-1,1,S/. 001.00,20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE AREQUIPA
PROMOTOR/A REGIONAL – REGIÓN MADRE DE DIOS,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-027,1,"S/. 1,864.19",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA EDUCACION UGEL SUCRE
AGENTE DE VIGILANCIA,PODER JUDICIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 1,950.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE CANGALLO
APOYO ADMINISTRATIVO,PODER JUDICIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,2,"S/. 2,100.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE HUAMANGA
APOYO ADMINISTRATIVO,PODER JUDICIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,2,"S/. 2,100.00",20/04/2026,4/05/2026,0,,TERRAPUERTO MUNICIPAL LIBERTADORES DE AMERICA
ESPECIALISTA JUDICIAL DE AUDIENCIA,PODER JUDICIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 2,972.00",20/04/2026,4/05/2026,0,,HOSPITAL SANTA MARIA DE CUTERVO
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 2,972.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS
ESPECIALISTA LEGAL DE AUDIENCIA,PODER JUDICIAL,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 4,511.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE YUNGAY
MEDICO ESPECIALISTA EN CIRUGIA GENERAL,UNIDAD EJECUTORA 413 SALUD ASCOPE,LA LIBERTAD - ASCOPE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 7,300.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA DE SALUD SANTA CRUZ
MEDICO GENERAL,UNIDAD EJECUTORA 413 SALUD ASCOPE,LA LIBERTAD - ASCOPE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 5,200.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL SECTORIAL DE COMERCIO EXTERIOR Y TURISMO
NUTRICIONISTA,UNIDAD EJECUTORA 413 SALUD ASCOPE,LA LIBERTAD - ASCOPE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,435.81",20/04/2026,4/05/2026,0,,MUNICIPALIDAD METROPOLITANA DE LIMA
TECNÓLOGO MÉDICO EN LABORATORIO CLÍNICO Y ANATOMIA PATOLÓGICA,UNIDAD EJECUTORA 413 SALUD ASCOPE,LA LIBERTAD - ASCOPE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,735.81",20/04/2026,4/05/2026,0,,ARCHIVO GENERAL DE LA NACION
COORDINADOR(A),PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-125,1,"S/. 5,000.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DE HUANCABAMBA
ESPECIALISTA ADMINISTRATIVO,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-125,1,"S/. 5,000.00",20/04/2026,4/05/2026,0,,GOBIERNO REGIONAL SAN MARTIN
"ASISTENTE ADMINISTRATIVO I,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 1,444.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL BELLAVISTA
ASISTENTE ADMINISTRATIVO II,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 1,444.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
"ASISTENTE/A ADMINISTRATIVO II,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 1,444.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL N° 9
"AUXILIAR ASISTENCIAL,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 2,697.00",20/04/2026,4/05/2026,0,,PROGRAMA NACIONAL DE SANEAMIENTO URBANO
M ED I CO,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 6,624.00",20/04/2026,4/05/2026,0,,PROGRAMA NACIONAL DE BECAS Y CREDITO EDUCATIVO
MEDICO ESPECIALISTA EN PEDIATRIA Y NEUMOLOGIA PEDIATRICA,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 6,624.00",20/04/2026,4/05/2026,0,,CENTRAL DE COMPRAS PUBLICAS - PERU COMPRAS
ODONTOLOGO,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 5,300.00",20/04/2026,4/05/2026,0,,COMISION NACIONAL DE INVESTIGACION Y DESARROLLO AEROESPACIAL (CONIDA)
"ODONTOLOGO ESPECIALISTA,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 5,300.00",20/04/2026,4/05/2026,0,,FUERZA AEREA DEL PERU
PILOTO DE AMBULANCIA,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 1,417.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA DEL PLIEGO 011 MINISTERIO DE SALUD-DIRECCION DE REDES INTEGRADAS DE SALUD LIMA SUR
TECNICO ASISTENCIAL,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 2,755.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL HUANCAVELICA
TECNICO ASISTENCIAL,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 2,755.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA
"TECNICO/A ADMINISTRATIVO I,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 1,417.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL CHURCAMPA
TECNICO/A EN LABORATORIO I,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 2,755.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE SANTA ANA
TECNICO/A EN LABORATORIO I,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 2,755.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRI.MARIANO D.BERAUN
TECNICO/A EN NUTRICION I,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 2,755.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA EDUCACION UGEL HUACAYBAMBA
TECNOLOGO MEDICO EN MEDICINA FISICA Y REHABILITACION,HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SAN JUAN DE MIRAFLORES,276-001,1,"S/. 5,300.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA 303 EDUCACION DOS DE MAYO
AGENTE DE SERENAZGO,MUNICIPALIDAD DISTRITAL DE AUCALLAMA,LIMA - AUCALLAMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,564.19",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA 301 EDUCA CHNCHA PISCO
SERENO OPERADOR DE CAMARAS DE VIDEO VIGILANCIA DE SERENAZGO,MUNICIPALIDAD DISTRITAL DE AUCALLAMA,LIMA - AUCALLAMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,600.19",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA EDUCACION PICHANAKI
SERENO CONDUCTOR,MUNICIPALIDAD DISTRITAL DE AUCALLAMA,LIMA - AUCALLAMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 1,664.19",20/04/2026,4/05/2026,0,,REGIÓN JUNÍN - EDUCACIÓN RIO ENE MANTARO
"2.1	SUB GERENTE DE SERVICIOS PÚBLICOS Y GESTIÓN AMBIENTAL",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,UGE JUNIN
"2.10	JEFE DE OFICINA DE TESORERIA",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",20/04/2026,4/05/2026,0,,RED DE SALUD OTUZCO
"2.2	SUB GERENTE DE PLANEAMIENTO, PRESUPUESTO Y RACIONALIZACIÓN.",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA 304 - GERENCIA REGIONAL DE EDUCACION LAMBAYEQUE
"2.3	SUB GERENCIA DE ADMINISTRACIÓN TRIBUTARIA Y RENTAS",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DEL CALLAO
"2.4	SUB GERENCIA DE GESTIÓN DE DESARROLLO URBANO Y ORDENAMIENTO TERRITORIAL",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE QUIQUIJANA
"2.7	SUB GERENCIA DE GESTIÓN DE RIESGO, SEGURIDAD CIUDADANA Y FISCALIZACIÓN MUNICIPAL",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE KOSÑIPATA
EJECUTOR COACTIVO,MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE CHECACUPE
"JEFE DE OFICINA DE LOGISTICA, CONTROL PATRIMONIAL Y SERVICIOS GENERALES",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DEL CUSCO
SECRETARIO TECNICO PAD,MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,000.00",20/04/2026,4/05/2026,0,,EDUCACION UGEL ANGARAES
SUB GERENCIA DE ASESORIA JURIDICA,MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE ACORIA
SUB GERENCIA DE DESARROLLO SOCIAL,MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE HUARMEY
"SUB GERENCIA DE TRANSPORTE, TRANSITO Y SEGURIDAD VIAL",MUNICIPALIDAD PROVINCIAL DE CANTA,LIMA - CANTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 3,800.00",20/04/2026,4/05/2026,0,,UNIDAD DE SERVICIOS EDUCATIVOS DE HUARI
ESPECIALISTA EN SELECCION,INSTITUTO NACIONAL DE INNOVACION AGRARIA,LIMA - SANTIAGO DE SURCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-30,1,"S/. 9,250.00",20/04/2026,4/05/2026,0,,HOSPITAL REGIONAL DE CAJAMARCA
SECRETARIA,SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS,LIMA - SANTIAGO DE SURCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 2,300.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DE LA PERLA
"M ED I CO E SP E CI ALI ST A E N P EDIATRIA ,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SANTIAGO DE SURCO,276-001,1,"S/. 6,624.00",20/04/2026,4/05/2026,0,,MUNICIP PROVINCIAL DE SAN ROMAN JULIACA
"TECNOLOGO MEDICO EN LABORATORIO CLINICO Y ANATOMIA PATOLOGICA,",HOSPITAL DE APOYO DEPARTAMENTAL MARIA AU,LIMA - SANTIAGO DE SURCO,276-001,1,"S/. 6,624.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE ANTAUTA
ANALISTA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-19,5,"S/. 6,000.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE AGRICULTURA SAN MARTIN
ANALISTA EN VIGILANCIA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,14,"S/. 7,000.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE EDUCACION TUMBES
ANALISTAS,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-23,21,"S/. 7,000.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL DE PADRE ABAD
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-15,1,"S/. 5,000.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE SALUD UCAYALI
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-29,1,"S/. 4,000.00",20/04/2026,4/05/2026,0,,SUPERINTENDENCIA NACIONAL DE MIGRACIONES - MIGRACIONES
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-30,1,"S/. 4,000.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE AZANGARO
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-21,1,"S/. 5,000.00",20/04/2026,4/05/2026,0,,HOSPITAL SANTA ROSA
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,1,"S/. 5,000.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD DISTRITAL DE LLOQUE
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-36,1,"S/. 4,000.00",20/04/2026,4/05/2026,0,,HOSPITAL DE APOYO II-2 SULLANA
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-17,1,"S/. 4,000.00",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL- UGEL HUARMACA
ANALISTA EN PROGRAMACIÓN DE SISTEMAS,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-028,1,"S/. 6,864.19",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE TRUJILLO
ESPECIALISTA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 9,000.00",20/04/2026,4/05/2026,0,,COLEGIO MILITAR ELIAS AGUIRRE
ESPECIALISTA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,5,"S/. 8,000.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA 300 - EDUCACION CHICLAYO
ESPECIALISTA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-18,5,"S/. 9,000.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE SALUD DE LIMA
"ESPECIALISTA DE PLANES DE NEGOCIO, GRANOS Y CEREALES",AGROMERCADO,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-027,1,"S/. 8,364.19",20/04/2026,4/05/2026,0,,UNIDAD DE GESTION EDUCATIVA LOCAL Nº 16 BARRANCA
ESPECIALISTA EN ALIMENTOS Y NUTRICIÓN,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-32,5,"S/. 9,000.00",20/04/2026,4/05/2026,0,,UNIDAD EJECUTORA 403-1169 - REGION CUSCO - HOSPITAL ANTONIO LORENA
ESPECIALISTA EN CALIDAD DE ALIMENTOS,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-33,3,"S/. 9,000.00",20/04/2026,4/05/2026,0,,OFICINA REGIONAL ORIENTE
ESPECIALISTA EN CONTRATACIONES,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-22,21,"S/. 9,000.00",20/04/2026,4/05/2026,0,,MUNICIPALIDAD PROVINCIAL DE HUANUCO
ESPECIALISTA EN EPIDEMIOLOGÍA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-24,1,"S/. 9,000.00",20/04/2026,4/05/2026,0,,DIRECCION REGIONAL DE EDUCACION ICA
