Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento
COORDINADOR(A) DE GESTIÓN DESCENTRALIZADA - SUPLENCIA,"SISTEMA NACIONAL DE EVALUACION, ACREDITACION Y CERTIFICACION DE LA CALIDAD EDUCATIVA",LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-20,1,"S/. 9,000.00",21/04/2026,05/05/2026,0
ANALISTA I EN SEGURIDAD CIUDADANA,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-53,2,"S/. 6,000.00",21/04/2026,05/05/2026,0
ANALISTA II EN DISEÑO DE POLÍTICAS PÚBLICAS EN MATERIA DE SEGURIDAD CIUDADANA,MINISTERIO DEL INTERIOR,LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-54,1,"S/. 7,000.00",21/04/2026,05/05/2026,0
ASISTENTE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-45,4,"S/. 4,000.00",21/04/2026,05/05/2026,0
ASISTENTE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-47,1,"S/. 5,000.00",21/04/2026,05/05/2026,0
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-38,2,"S/. 5,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN CONTRATACIONES PÚBLICAS,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-42,6,"S/. 8,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA LEGAL,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-49,2,"S/. 9,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA LEGAL SENIOR,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-48,2,"S/. 10,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA RESPONSABLE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-44,1,"S/. 8,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN CONTROL PATRIMONIAL,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-41,1,"S/. 10,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN GESTIÓN PÚBLICA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-37,2,"S/. 10,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN INTEGRACIÓN CONTABLE,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 9,000.00",21/04/2026,05/05/2026,0
ESPECIALISTA EN SSGG,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-40,1,"S/. 10,000.00",21/04/2026,05/05/2026,0
SECRETARIA,UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-46,1,"S/. 4,000.00",21/04/2026,05/05/2026,0
SECRETARIO(A),UNIDAD EJECUTORA N° 011: PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE),LIMA - SAN ISIDRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-39,1,"S/. 4,000.00",21/04/2026,05/05/2026,0
ANALISTA LEGAL,INSTITUTO GEOLOGICO MINERO Y METALURGICO,LIMA - SAN BORJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 5,500.00",21/04/2026,05/05/2026,0
