Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento
PERSONAL DE ATENCIÓN PERMANENTE,C.N.DE INTEGR.D.L.PERS.CON DISC.-CONADIS,LIMA - ANCON,D.LEG 1057 - DETERMINADO (SUPLENCIA)-040,1,"S/. 1,700.00",23/04/2026,07/05/2026,0
ASISTENTE ADMINISTRATIVO,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-046,1,"S/. 3,850.00",23/04/2026,07/05/2026,0
ESPECIALISTA INFORMATICO PARA LA OFICINA DE MERITOCRACIA,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-051,1,"S/. 4,500.00",23/04/2026,07/05/2026,0
ANALISTA LEGAL,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-083,1,"S/. 4,750.00",23/04/2026,07/05/2026,0
ASISTENTE EN GESTIÓN ADMINISTRATIVA,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-083,1,"S/. 4,122.00",23/04/2026,07/05/2026,0
AUXILIAR OPERATIVO,MUNICIPALIDAD DISTRITAL DE SURQUILLO,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-69,1,"S/. 1,500.00",23/04/2026,07/05/2026,0
COORDINADOR ADMINISTRATIVO,PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-054,1,"S/. 8,250.00",23/04/2026,07/05/2026,0
"COORDINADOR(A) DE REPORTEROS(AS), PRODUCCION AUDIOVISUAL Y GESTION DE REDES SOCIALES",PODER JUDICIAL,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-050,1,"S/. 8,500.00",23/04/2026,07/05/2026,0
EDUCADOR/A,C.N.DE INTEGR.D.L.PERS.CON DISC.-CONADIS,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-041,1,"S/. 2,000.00",23/04/2026,07/05/2026,0
PERSONAL DE MANTENIMIENTO (NECESIDAD TRANSITORIA),UNIDAD DE GESTION EDUCATIVA LOCAL 03,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-064,3,"S/. 1,514.19",23/04/2026,07/05/2026,0
PROFESIONAL DE APOYO SAEI (NECESIDAD TRANSITORIA),UNIDAD DE GESTION EDUCATIVA LOCAL 03,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-062,1,"S/. 4,364.19",23/04/2026,07/05/2026,0
GESTOR DE ORIENTACION Y REGISTRO,SERVICIO DE ADMINISTRACION TRIBUTARIA,LIMA - LIMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,5,"S/. 2,000.00",23/04/2026,07/05/2026,0
ASISTENTE EN INVESTIGACIÓN BOTÁNICA.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,LORETO - JENARO HERRERA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-04,1,"S/. 3,250.00",23/04/2026,07/05/2026,0
BRIGADISTA REGISTRAL,ZONA REGISTRAL N° IV SEDE IQUITOS,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-04,1,"S/. 3,500.00",23/04/2026,07/05/2026,0
AUXILIAR DE LIMPIEZA,GOBIERNO REGIONAL PUNO,PUNO - CHUCUITO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,389.19",23/04/2026,07/05/2026,0
ALMACENERO/A,GOBIERNO REGIONAL PUNO,PUNO - CAPACHICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,389.19",23/04/2026,07/05/2026,0
ASISTENTE SOCIAL,GOBIERNO REGIONAL PUNO,PUNO - CAPACHICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,664.19",23/04/2026,07/05/2026,0
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,PUNO - PUNO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-008,1,"S/. 2,572.00",23/04/2026,07/05/2026,0
ABOGADO ESPECIALISTA - CONTENCIOSO ADMINISTRATIVO,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,364.19",23/04/2026,07/05/2026,0
ABOGADO ESPECIALISTA-DEFENSA LEGAL,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,164.19",23/04/2026,07/05/2026,0
ABOGADO ESPECIALISTA-PREVENCION Y SOLUCION DE CONFLICTOS,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,164.19",23/04/2026,07/05/2026,0
ASISTENTE DE COMUNICACIÓN E IMAGEN INSTITUCIONAL,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,064.19",23/04/2026,07/05/2026,0
ASISTENTE EN SERVICIOS DE COMUNICACIONES,PODER JUDICIAL,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 2,372.00",23/04/2026,07/05/2026,0
GUARDIAN,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,389.19",23/04/2026,07/05/2026,0
OPERADOR TECNICO,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,164.19",23/04/2026,07/05/2026,0
SECTORIALISTA,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,389.19",23/04/2026,07/05/2026,0
TECNICO ADMINISTRATIVO,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,664.19",23/04/2026,07/05/2026,0
TIA SUSTITUTA,GOBIERNO REGIONAL PUNO,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,389.19",23/04/2026,07/05/2026,0
ABOGADO PARA PATROCINIO JURIDICO GRATUITO,GOBIERNO REGIONAL PUNO,PUNO - JULIACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,164.19",23/04/2026,07/05/2026,0
ESPECIALISTA DE LA UNIDAD DE CONTABILIDAD Y TESORERIA,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES SAN MARTIN,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 5,364.19",23/04/2026,07/05/2026,0
ESPECIALISTA DE LA UNIDAD DE EQUIPO MECÁNICO,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES SAN MARTIN,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 5,364.19",23/04/2026,07/05/2026,0
ESPECIALISTA DE LA UNIDAD DE TECNOLOGÍA DE LA INFORMACIÓN,DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES SAN MARTIN,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 5,364.19",23/04/2026,07/05/2026,0
TECNICO ADMINISTRATIVO I,UNIDAD DE GESTION EDUCATIVA LOCAL DE RIOJA,SAN MARTIN - RIOJA,276-001,1,"S/. 2,788.00",23/04/2026,07/05/2026,0
OPERADOR ADMINISTRATIVO,ZONA REGISTRAL NRO.XIII SEDE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-07,1,"S/. 1,500.00",23/04/2026,07/05/2026,0
ANALISTA,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-25,1,"S/. 2,800.00",23/04/2026,07/05/2026,0
