Título,Entidad,Ubicación,Convocatoria,Vacantes,Remuneración,Fecha Inicio,Fecha Fin,Departamento
ENFERMERA/O,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,1,"S/. 5,342.40",23/04/2026,07/05/2026,0
MEDICO PEDIATRA,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,1,"S/. 6,666.40",23/04/2026,07/05/2026,0
OBSTETRA,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,3,"S/. 5,342.40",23/04/2026,07/05/2026,0
TECNICO ASISTENCIAL,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,6,"S/. 2,797.40",23/04/2026,07/05/2026,0
TECNICO ASISTENCIAL,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,1,"S/. 2,797.40",23/04/2026,07/05/2026,0
TECNICO EN ENFERMERIA,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,1,"S/. 2,797.40",23/04/2026,07/05/2026,0
TECNICO EN LABORATORIO,HOSPITAL SERGIO E BERNALES,LIMA - COMAS,276-1,1,"S/. 2,797.40",23/04/2026,07/05/2026,0
AUXILIAR DE SISTEMA ADMINISTRATIVO,UNIDAD DE GESTION EDUCATIVA LOCAL 07,LIMA - CHORRILLOS,276-024,1,S/. 688.00,23/04/2026,07/05/2026,0
OFICINISTA,UNIDAD DE GESTION EDUCATIVA LOCAL 07,LIMA - CHORRILLOS,276-031,1,S/. 688.00,23/04/2026,07/05/2026,0
TECNICO ADMINISTRATIVO,UNIDAD DE GESTION EDUCATIVA LOCAL 07,LIMA - CHORRILLOS,276-028,1,S/. 726.00,23/04/2026,07/05/2026,0
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL 07,LIMA - CHORRILLOS,276-027,1,S/. 688.00,23/04/2026,07/05/2026,0
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL 07,LIMA - BARRANCO,276-030,1,S/. 688.00,23/04/2026,07/05/2026,0
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL 07,LIMA - BARRANCO,276-020,1,S/. 688.00,23/04/2026,07/05/2026,0
ESPECIALISTA DE PRESUPUESTO.,UNIDAD DE GESTION EDUCATIVA LOCAL 06,LIMA - ATE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-034,1,"S/. 4,364.19",23/04/2026,07/05/2026,0
CONDUCTOR DE VEHICULOS,C.N.DE INTEGR.D.L.PERS.CON DISC.-CONADIS,LIMA - ANCON,D.LEG 1057 - DETERMINADO (SUPLENCIA)-039,1,"S/. 2,000.00",23/04/2026,07/05/2026,0
